time	Lpx:	Lpy:	Lps:	Rpx:	Rpy:	Rps:
1492489811056	nan	nan	nan	nan	nan	nan
1492489811114	41.0	20.0	81.0	46.0	16.0	75.0
1492489811140	42.0	20.0	82.0	63.0	17.0	57.0
1492489811461	51.0	19.0	38.0	49.0	21.0	31.0
1492489811537	46.0	21.0	29.0	49.0	20.0	33.0
1492489813834	28.0	15.0	55.0	39.0	20.0	19.0
1492489814255	27.0	15.0	53.0	41.0	22.0	26.0
1492489815316	31.0	15.0	61.0	40.0	19.0	27.0
1492489815924	40.0	16.0	78.0	42.0	18.0	39.0
1492489816876	40.0	15.0	78.0	42.0	20.0	35.0
